VERTICES :  357
ARISTAS_REQ :   341
ARISTAS_NOREQ :    190
VEHICULOS :  13
CAPACIDAD :   3000
TIPO_COSTES_ARISTAS : EXPLICITOS
COSTE_TOTAL_REQ :   567634
LISTA_ARISTAS_REQ :
114 0 ( 120, 121) coste    13 demanda     2
122 -1 (  49, 108) coste     6 demanda     1
138 1 ( 136, 137) coste    53 demanda     5
139 1 ( 137, 138) coste    76 demanda     7
140 1 ( 138, 137) coste    68 demanda     6
141 -1 ( 139, 140) coste    91 demanda     8
142 -1 ( 141, 142) coste    65 demanda     6
143 -1 ( 143, 144) coste   310 demanda    25
144 -1 ( 145, 146) coste   137 demanda    11
145 1 ( 147,   4) coste   134 demanda    11
146 -1 ( 136, 137) coste    56 demanda     5
147 1 ( 148,  46) coste    22 demanda     2
148 1 (  46, 148) coste    18 demanda     2
149 -1 ( 149,  96) coste    25 demanda     3
150 -1 (  96, 149) coste    23 demanda     2
151 1 (  96, 150) coste    27 demanda     3
152 -1 (  96, 150) coste    24 demanda     2
153 1 ( 151, 152) coste    29 demanda     3
154 -1 ( 151, 152) coste    31 demanda     3
155 1 ( 153, 151) coste    26 demanda     3
156 1 ( 151, 153) coste    28 demanda     3
157 -1 ( 104, 154) coste    29 demanda     3
158 1 ( 104, 154) coste    30 demanda     3
159 -1 ( 155, 156) coste    30 demanda     3
160 1 ( 155, 156) coste    27 demanda     3
161 -1 (  31, 157) coste    32 demanda     3
162 -1 (  31, 158) coste    40 demanda     4
163 -1 ( 157,  31) coste    36 demanda     3
164 -1 ( 159, 156) coste    25 demanda     3
165 1 ( 159, 156) coste    26 demanda     3
166 -1 ( 158,  31) coste    41 demanda     4
167 -1 ( 160, 105) coste    19 demanda     2
168 -1 ( 105, 160) coste    19 demanda     2
169 1 (  93,  91) coste    44 demanda     4
170 -1 (  90, 161) coste    63 demanda     6
171 1 (  91, 161) coste    37 demanda     3
172 0 (  47,  45) coste     7 demanda     1
173 0 ( 162, 153) coste   100 demanda     9
174 0 (  34, 122) coste   105 demanda     9
175 0 ( 163, 164) coste    73 demanda     6
176 0 ( 165, 166) coste    48 demanda     4
177 1 ( 166, 164) coste    42 demanda     4
178 1 ( 164, 165) coste    53 demanda     5
179 0 ( 167, 147) coste   675 demanda    55
180 0 ( 168, 169) coste   186 demanda    15
181 0 ( 169, 167) coste   489 demanda    40
182 0 ( 170, 171) coste    70 demanda     6
183 1 ( 172, 137) coste    59 demanda     5
184 -1 ( 172, 137) coste    54 demanda     5
185 -1 ( 173, 174) coste    34 demanda     3
186 1 ( 174, 175) coste    41 demanda     4
187 -1 ( 174, 175) coste    42 demanda     4
188 1 ( 173, 174) coste    30 demanda     3
189 1 ( 151, 176) coste    39 demanda     4
190 -1 ( 151, 176) coste    35 demanda     3
191 -1 ( 151, 177) coste    12 demanda     2
192 1 ( 151, 177) coste    15 demanda     2
193 -1 ( 117, 178) coste    42 demanda     4
194 1 ( 118, 178) coste    46 demanda     4
195 -1 ( 179, 105) coste    23 demanda     2
196 -1 ( 105, 179) coste    20 demanda     2
197 1 ( 180, 181) coste    38 demanda     4
198 1 ( 182, 180) coste    47 demanda     4
