VERTICES :  354
ARISTAS_REQ :   226
ARISTAS_NOREQ :    302
VEHICULOS :  10
CAPACIDAD :   3000
TIPO_COSTES_ARISTAS : EXPLICITOS
COSTE_TOTAL_REQ :   568008
LISTA_ARISTAS_REQ :
107 0 ( 115, 116) coste    13 demanda     2
160 -1 ( 156, 101) coste    19 demanda     2
161 -1 ( 101, 156) coste    19 demanda     2
168 0 ( 159, 160) coste    73 demanda     6
169 0 ( 161, 162) coste    48 demanda     4
170 1 ( 162, 160) coste    42 demanda     4
171 1 ( 160, 161) coste    53 demanda     5
184 -1 ( 147, 173) coste    12 demanda     2
185 1 ( 147, 173) coste    15 demanda     2
186 -1 ( 112, 174) coste    42 demanda     4
187 1 ( 113, 174) coste    46 demanda     4
188 -1 ( 175, 101) coste    23 demanda     2
189 -1 ( 101, 175) coste    20 demanda     2
202 0 ( 186, 187) coste    14 demanda     2
203 0 ( 188, 189) coste    42 demanda     4
204 0 ( 190, 191) coste   713 demanda    58
205 0 ( 192, 193) coste    89 demanda     8
206 0 ( 194, 195) coste    56 demanda     5
207 0 ( 196, 197) coste  1074 demanda    86
208 0 ( 198, 199) coste  1198 demanda    96
209 0 ( 200, 198) coste    29 demanda     3
210 0 ( 201, 202) coste   698 demanda    56
211 0 (  84,  83) coste    16 demanda     2
212 0 (  46,  84) coste   225 demanda    19
213 0 ( 203, 204) coste   663 demanda    54
216 0 ( 208, 209) coste    18 demanda     2
217 0 ( 182, 208) coste   469 demanda    38
218 0 ( 210, 211) coste    18 demanda     2
222 0 ( 214, 106) coste    27 demanda     3
223 0 ( 215, 216) coste    88 demanda     8
224 0 ( 217, 216) coste   188 demanda    16
225 0 ( 216, 218) coste   213 demanda    18
226 0 ( 219, 220) coste    22 demanda     2
227 0 ( 221, 219) coste    25 demanda     3
228 0 ( 200, 222) coste    44 demanda     4
229 0 ( 198, 222) coste    29 demanda     3
230 -1 ( 223,  75) coste    32 demanda     3
231 1 ( 223,  75) coste    35 demanda     3
232 1 ( 224,  75) coste    21 demanda     2
233 -1 ( 224,  75) coste    25 demanda     3
234 -1 ( 225,  75) coste    24 demanda     2
235 -1 (  75, 225) coste    25 demanda     3
236 0 ( 226, 115) coste    22 demanda     2
237 0 ( 226, 116) coste    25 demanda     3
238 0 ( 227, 228) coste    47 demanda     4
239 0 ( 227, 229) coste    12 demanda     2
240 0 ( 230, 231) coste    36 demanda     3
241 0 ( 230, 232) coste    32 demanda     3
244 0 ( 211, 234) coste    17 demanda     2
245 0 ( 210, 234) coste    18 demanda     2
246 1 ( 235, 236) coste   108 demanda     9
247 1 ( 236, 237) coste    30 demanda     3
250 0 ( 240,  56) coste    15 demanda     2
251 0 ( 241, 242) coste   965 demanda    78
252 0 ( 243, 244) coste    21 demanda     2
253 0 ( 188, 245) coste    28 demanda     3
254 0 ( 245, 189) coste    52 demanda     5
